%time,field.header.seq,field.header.stamp,field.header.frame_id,field.voltage,field.temperature,field.current,field.charge,field.capacity,field.design_capacity,field.percentage,field.power_supply_status,field.power_supply_health,field.power_supply_technology,field.present,field.cell_voltage0,field.location,field.serial_number
1758482357935087800,4710,1758482357934889500,,12.600000381469727,0.0,-28.09000015258789,nan,nan,nan,0.949999988079071,2,0,0,1,12.600000381469727,id0,
1758482358185743800,4711,1758482358185517000,,12.600000381469727,0.0,-28.059999465942383,nan,nan,nan,0.949999988079071,2,0,0,1,12.600000381469727,id0,
1758482358436452000,4712,1758482358436224800,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.949999988079071,2,0,0,1,12.600000381469727,id0,
1758482358687338800,4713,1758482358687098100,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.949999988079071,2,0,0,1,12.600000381469727,id0,
1758482358932362800,4714,1758482358932135600,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.949999988079071,2,0,0,1,12.600000381469727,id0,
1758482359184361800,4715,1758482359184100600,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.949999988079071,2,0,0,1,12.600000381469727,id0,
1758482359434981800,4716,1758482359434681600,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.949999988079071,2,0,0,1,12.600000381469727,id0,
1758482359685587800,4717,1758482359685252000,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.949999988079071,2,0,0,1,12.600000381469727,id0,
1758482359935781800,4718,1758482359935485700,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9399999976158142,2,0,0,1,12.600000381469727,id0,
1758482360187578300,4719,1758482360187399600,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9399999976158142,2,0,0,1,12.600000381469727,id0,
1758482360437519900,4720,1758482360437304500,,12.600000381469727,0.0,-28.399999618530273,nan,nan,nan,0.9399999976158142,2,0,0,1,12.600000381469727,id0,
1758482360688985000,4721,1758482360688775000,,12.600000381469727,0.0,-28.349998474121094,nan,nan,nan,0.9399999976158142,2,0,0,1,12.600000381469727,id0,
1758482360933746900,4722,1758482360933554400,,12.600000381469727,0.0,-28.09000015258789,nan,nan,nan,0.9399999976158142,2,0,0,1,12.600000381469727,id0,
1758482361185309800,4723,1758482361185094800,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9399999976158142,2,0,0,1,12.600000381469727,id0,
1758482361435488300,4724,1758482361435252100,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9399999976158142,2,0,0,1,12.600000381469727,id0,
1758482361686600000,4725,1758482361686251700,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9399999976158142,2,0,0,1,12.600000381469727,id0,
1758482361937021800,4726,1758482361936727500,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9399999976158142,2,0,0,1,12.600000381469727,id0,
1758482362188363000,4727,1758482362188063900,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.9399999976158142,2,0,0,1,12.600000381469727,id0,
1758482362439293400,4728,1758482362439059600,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.9399999976158142,2,0,0,1,12.600000381469727,id0,
1758482362691271100,4729,1758482362691023800,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9399999976158142,2,0,0,1,12.600000381469727,id0,
1758482362934380300,4730,1758482362934162700,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9399999976158142,2,0,0,1,12.600000381469727,id0,
1758482363185894300,4731,1758482363185649700,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9399999976158142,2,0,0,1,12.600000381469727,id0,
1758482363437996200,4732,1758482363437697800,,12.600000381469727,0.0,-28.399999618530273,nan,nan,nan,0.9399999976158142,2,0,0,1,12.600000381469727,id0,
1758482363687549900,4733,1758482363687333600,,12.600000381469727,0.0,-28.349998474121094,nan,nan,nan,0.9399999976158142,2,0,0,1,12.600000381469727,id0,
1758482363937782900,4734,1758482363937547600,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9399999976158142,2,0,0,1,12.600000381469727,id0,
1758482364190911200,4735,1758482364190722300,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9300000071525574,2,0,0,1,12.600000381469727,id0,
1758482364440065400,4736,1758482364439859400,,12.600000381469727,0.0,-28.09000015258789,nan,nan,nan,0.9300000071525574,2,0,0,1,12.600000381469727,id0,
